Search-Based Peer Reviewers Recommendation in Modern Code Review,"Dept. of Comput. Sci., Osaka Univ., Suita, Japan",2016 IEEE International Conference on Software Maintenance and Evolution (ICSME),20170116,2016,,,367,377
Automatically Recommending Peer Reviewers in Modern Code Review,"Department of Electrical Engineering and Computer Science, Wichita State University, Wichita, Kansas",IEEE Transactions on Software Engineering,20160610,2016,42,6,530,543
Who does what during a code review? Datasets of OSS peer review repositories,"NAIST, Japan",2013 10th Working Conference on Mining Software Repositories (MSR),20131010,2013,,,49,52
The Sweep: Essential Examples for In-Flow Peer Review,"Brown University, Providence, RI, USA",Proceedings of the 47th ACM Technical Symposium on Computing Science Education,20161111,2016,,,243,248
Convergent contemporary software peer review practices,"Concordia University, Canada",Proceedings of the 2013 9th Joint Meeting on Foundations of Software Engineering,20160129,2013,,,202,212
CaptainTeach: a platform for in-flow peer review of programming assignments,"Brown University, Providence, RI, USA",Proceedings of the 2014 conference on Innovation & technology in computer science education,20160129,2014,,,332,332
Contemporary Peer Review in Action: Lessons from Open Source Development,"Concordia University, Montreal, Canada",IEEE Software,20121022,2012,29,6,56,61
Social network analysis in open source software peer review,"Nara Institute of Science and Technology, Japan",Proceedings of the 22nd ACM SIGSOFT International Symposium on Foundations of Software Engineering,20161111,2014,,,820,822
"CaptainTeach: multi-stage, in-flow peer review for programming assignments","Brown University, Providence, RI, USA",Proceedings of the 2014 conference on Innovation & technology in computer science education,20160129,2014,,,267,272
Using peer review to teach software testing,"University of Texas at Austin, Austin, TX, USA",Proceedings of the ninth annual international conference on International computing education research,20160129,2012,,,93,98
"Influence of professional demographics on faculty feedback in asynchronous, video-annotated peer review (VAPR)","Engineering Fundamentals, Embry-Riddle Aeronautical University, Daytona Beach, FL",2015 IEEE Frontiers in Education Conference (FIE),20151207,2015,,,1,8
Understanding broadcast based peer review on open source software projects,"University of Victoria, Victoria, BC, Canada",2011 33rd International Conference on Software Engineering (ICSE),20111010,2011,,,541,550
Peer review in CS2: conceptual learning,"ECPI College of Technology, Hampton, VA, USA",Proceedings of the 41st ACM technical symposium on Computer science education,20110708,2010,,,331,335
